x	rho_sf	rho_sf_ana	rho_pin	rho_pin_ana	rho_crit
-7.4707	0	6.2255e-37	0	2.913e-06	0
-7.4414	0	8.754e-37	0	3.2738e-06	0
-7.4121	0	1.231e-36	0	3.6793e-06	0
-7.3828	0	1.7309e-36	0	4.135e-06	0
-7.3535	0	2.4339e-36	0	4.6472e-06	0
-7.3242	0	3.4225e-36	0	5.2228e-06	0
-7.2949	0	4.8126e-36	0	5.8697e-06	0
-7.2656	0	6.7673e-36	0	6.5967e-06	0
-7.2363	0	9.5158e-36	0	7.4138e-06	0
-7.207	0	1.3381e-35	0	8.332e-06	0
-7.1777	0	1.8815e-35	0	9.364e-06	0
-7.1484	0	2.6458e-35	0	1.0524e-05	0
-7.1191	0	3.7203e-35	0	1.1827e-05	0
-7.0898	0	5.2314e-35	0	1.3292e-05	0
-7.0605	0	7.3562e-35	0	1.4939e-05	0
-7.0312	0	1.0344e-34	0	1.6789e-05	0
-7.002	0	1.4545e-34	0	1.8868e-05	0
-6.9727	0	2.0453e-34	0	2.1205e-05	0
-6.9434	0	2.876e-34	0	2.3832e-05	0
-6.9141	0	4.0441e-34	0	2.6784e-05	0
-6.8848	0	5.6866e-34	0	3.0101e-05	0
-6.8555	0	7.9963e-34	0	3.3829e-05	0
-6.8262	0	1.1244e-33	0	3.8019e-05	0
-6.7969	0	1.5811e-33	0	4.2728e-05	0
-6.7676	0	2.2233e-33	0	4.802e-05	0
-6.7383	0	3.1263e-33	0	5.3968e-05	0
-6.709	0	4.396e-33	0	6.0652e-05	0
-6.6797	0	6.1815e-33	0	6.8164e-05	0
-6.6504	0	8.6922e-33	0	7.6606e-05	0
-6.6211	0	1.2223e-32	0	8.6095e-05	0
-6.5918	0	1.7187e-32	0	9.6758e-05	0
-6.5625	0	2.4168e-32	0	0.00010874	0
-6.5332	0	3.3983e-32	0	0.00012221	0
-6.5039	0	4.7786e-32	0	0.00013734	0
-6.4746	0	6.7195e-32	0	0.00015436	0
-6.4453	0	9.4486e-32	0	0.00017347	0
-6.416	0	1.3286e-31	0	0.00019496	0
