gTG	coherence_N2	coherence_N3
0	1	1
0.1	0.999988	0.999987
0.2	0.999947	0.999949
0.3	0.99988	0.999884
0.4	0.999785	0.999791
0.5	0.999662	0.999669
0.6	0.999508	0.999517
0.7	0.999325	0.999333
0.8	0.999111	0.999117
0.9	0.998864	0.998865
1	0.998585	0.998578
1.1	0.998273	0.998254
1.2	0.997928	0.99789
1.3	0.997546	0.997486
1.4	0.997131	0.997039
1.5	0.996679	0.996548
1.6	0.99619	0.99601
1.7	0.995663	0.995423
1.8	0.995099	0.994787
1.9	0.994496	0.994097
2	0.993853	0.993353
2.1	0.993171	0.992551
2.2	0.992449	0.99169
2.3	0.991684	0.990766
2.4	0.990879	0.989778
2.5	0.990034	0.988724
2.6	0.989148	0.9876
2.7	0.98822	0.986404
2.8	0.987248	0.985134
2.9	0.986236	0.983788
3	0.985184	0.982363
3.1	0.984092	0.980857
3.2	0.982959	0.979269
3.3	0.981782	0.977596
3.4	0.980568	0.975838
3.5	0.979317	0.973993
3.6	0.978028	0.972059
3.7	0.976702	0.970037
3.8	0.975341	0.967927
3.9	0.973945	0.965728
4	0.97252	0.963442
4.1	0.971056	0.96107
4.2	0.969568	0.958613
4.3	0.968049	0.956073
4.4	0.966502	0.953454
4.5	0.964934	0.950759
4.6	0.963333	0.947991
4.7	0.961724	0.945154
4.8	0.960082	0.942255
4.9	0.958428	0.939296
5	0.956767	0.936283
5.1	0.955081	0.933221
5.2	0.953379	0.930117
5.3	0.951677	0.926977
5.4	0.949963	0.923805
5.5	0.948233	0.920608
5.6	0.946516	0.917394
5.7	0.944777	0.914163
5.8	0.943038	0.910926
5.9	0.941305	0.907686
6	0.939566	0.904449
6.1	0.937825	0.901217
6.2	0.936094	0.897997
6.3	0.93436	0.894794
6.4	0.932637	0.891609
6.5	0.930912	0.888447
6.6	0.929199	0.885312
6.7	0.927476	0.882203
6.8	0.925791	0.879126
6.9	0.924089	0.876083
7	0.922404	0.873073
7.1	0.920732	0.870102
7.2	0.919061	0.867168
7.3	0.917406	0.864271
7.4	0.915754	0.861415
7.5	0.914131	0.858597
7.6	0.912493	0.855821
7.7	0.910889	0.853087
7.8	0.909296	0.850392
7.9	0.907702	0.847737
