gTG	E_N2_num	E_N2_ana	E_N2_sf	E_N3_num	E_N3_ana	E_N3_sf
0	-2.64994	-2.64985	-2.64994	-5.87915	-5.87639	-5.87915
0.1	-2.58469	-2.58422	-2.58469	-5.68705	-5.68405	-5.68705
0.2	-2.521	-2.51941	-2.521	-5.4991	-5.49484	-5.4991
0.3	-2.45888	-2.45541	-2.45888	-5.3153	-5.30878	-5.3153
0.4	-2.39831	-2.39224	-2.39831	-5.13566	-5.12586	-5.13566
0.5	-2.33928	-2.32988	-2.33928	-4.96021	-4.9461	-4.96021
0.6	-2.28177	-2.26834	-2.28177	-4.78895	-4.76948	-4.78895
0.7	-2.22578	-2.20762	-2.22578	-4.62191	-4.59602	-4.62191
0.8	-2.17127	-2.14772	-2.17127	-4.45907	-4.42571	-4.45907
0.9	-2.11826	-2.08864	-2.11826	-4.30045	-4.25857	-4.30045
1	-2.06671	-2.03038	-2.06671	-4.14606	-4.09459	-4.14606
1.1	-2.01662	-1.97294	-2.01662	-3.9959	-3.93378	-3.9959
1.2	-1.96795	-1.91632	-1.96795	-3.84996	-3.77614	-3.84996
1.3	-1.92071	-1.86051	-1.92071	-3.70824	-3.62167	-3.70824
1.4	-1.87486	-1.80553	-1.87486	-3.57074	-3.47037	-3.57074
1.5	-1.8304	-1.75137	-1.8304	-3.43744	-3.32226	-3.43744
1.6	-1.7873	-1.69803	-1.7873	-3.30834	-3.17732	-3.30834
1.7	-1.74555	-1.64551	-1.74555	-3.18341	-3.03558	-3.18341
1.8	-1.70512	-1.59381	-1.70512	-3.06265	-2.89702	-3.06265
1.9	-1.66599	-1.54294	-1.66599	-2.94602	-2.76165	-2.94602
2	-1.62814	-1.49288	-1.62814	-2.8335	-2.62948	-2.8335
2.1	-1.59156	-1.44365	-1.59156	-2.72506	-2.50051	-2.72506
2.2	-1.55621	-1.39523	-1.55621	-2.62066	-2.37474	-2.62066
2.3	-1.52208	-1.34764	-1.52208	-2.52027	-2.25217	-2.52027
2.4	-1.48914	-1.30087	-1.48914	-2.42385	-2.13281	-2.42385
2.5	-1.45737	-1.25493	-1.45737	-2.33134	-2.01666	-2.33134
2.6	-1.42674	-1.2098	-1.42674	-2.24269	-1.90372	-2.24269
2.7	-1.39722	-1.1655	-1.39722	-2.15786	-1.79401	-2.15786
2.8	-1.3688	-1.12202	-1.3688	-2.07677	-1.68751	-2.07677
2.9	-1.34145	-1.07937	-1.34145	-1.99935	-1.58424	-1.99935
3	-1.31513	-1.03754	-1.31513	-1.92555	-1.48419	-1.92555
3.1	-1.28982	-0.996531	-1.28982	-1.85528	-1.38737	-1.85528
3.2	-1.2655	-0.956347	-1.2655	-1.78846	-1.29379	-1.78846
3.3	-1.24214	-0.916986	-1.24214	-1.72501	-1.20345	-1.72501
3.4	-1.21971	-0.87845	-1.21971	-1.66483	-1.11634	-1.66483
3.5	-1.19818	-0.840738	-1.19818	-1.60783	-1.03248	-1.60783
3.6	-1.17752	-0.803851	-1.17752	-1.55392	-0.951868	-1.55392
3.7	-1.15771	-0.767788	-1.15771	-1.50299	-0.874503	-1.50299
3.8	-1.13872	-0.73255	-1.13872	-1.45493	-0.800393	-1.45493
3.9	-1.12052	-0.698137	-1.12052	-1.40964	-0.729539	-1.40964
4	-1.10308	-0.664549	-1.10308	-1.367	-0.661946	-1.367
4.1	-1.08639	-0.631787	-1.08639	-1.32691	-0.597616	-1.32691
4.2	-1.07039	-0.599851	-1.07039	-1.28924	-0.536553	-1.28924
4.3	-1.05508	-0.56874	-1.05508	-1.2539	-0.47876	-1.2539
4.4	-1.04043	-0.538455	-1.04043	-1.22075	-0.424242	-1.22075
4.5	-1.0264	-0.508997	-1.0264	-1.18968	-0.373	-1.18968
4.6	-1.01299	-0.480365	-1.01299	-1.16059	-0.32504	-1.16059
4.7	-1.00014	-0.45256	-1.00014	-1.13336	-0.280363	-1.13336
4.8	-0.987862	-0.425581	-0.987862	-1.10788	-0.238974	-1.10788
4.9	-0.976107	-0.39943	-0.976107	-1.08405	-0.200876	-1.08405
5	-0.964854	-0.374105	-0.964854	-1.06176	-0.166072	-1.06176
5.1	-0.954095	-0.349608	-0.954095	-1.04092	-0.134566	-1.04092
5.2	-0.943802	-0.325939	-0.943802	-1.02142	-0.106362	-1.02142
5.3	-0.933944	-0.303097	-0.933944	-1.00318	-0.0814621	-1.00318
5.4	-0.924512	-0.281084	-0.924512	-0.986118	-0.0598711	-0.986118
5.5	-0.915489	-0.259898	-0.915489	-0.970142	-0.041592	-0.970142
5.6	-0.906838	-0.239541	-0.906838	-0.955172	-0.0266284	-0.955172
5.7	-0.898565	-0.220013	-0.898565	-0.941148	-0.0149838	-0.941148
5.8	-0.890641	-0.201313	-0.890641	-0.927991	-0.00666188	-0.927991
5.9	-0.883045	-0.183443	-0.883045	-0.915642	-0.00166607	-0.915642
6	-0.875769	-0.166401	-0.875769	-0.904038	0	-0.904038
6.1	-0.868797	-0.150189	-0.868797	-0.893132	NaN	-0.893132
6.2	-0.862109	-0.134806	-0.862109	-0.882866	NaN	-0.882866
6.3	-0.855698	-0.120253	-0.855698	-0.873192	NaN	-0.873192
6.4	-0.849545	-0.106531	-0.849545	-0.864071	NaN	-0.864071
6.5	-0.843644	-0.0936378	-0.843644	-0.855461	NaN	-0.855461
6.6	-0.837977	-0.0815755	-0.837977	-0.847323	NaN	-0.847323
6.7	-0.832543	-0.0703436	-0.832543	-0.839628	NaN	-0.839628
6.8	-0.827309	-0.0599425	-0.827309	-0.83234	NaN	-0.83234
6.9	-0.822292	-0.0503724	-0.822292	-0.825429	NaN	-0.825429
7	-0.817466	-0.0416334	-0.817466	-0.818874	NaN	-0.818874
7.1	-0.812825	-0.0337257	-0.812825	-0.812643	NaN	-0.812643
7.2	-0.808364	-0.0266496	-0.808364	-0.806721	NaN	-0.806721
7.3	-0.804069	-0.0204053	-0.804069	-0.801087	NaN	-0.801087
7.4	-0.799939	-0.0149928	-0.799939	-0.795716	NaN	-0.795716
7.5	-0.795955	-0.0104125	-0.795955	-0.790599	NaN	-0.790599
7.6	-0.792128	-0.00666454	-0.792128	-0.785712	NaN	-0.785712
7.7	-0.788432	-0.0037491	-0.788432	-0.781042	NaN	-0.781042
7.8	-0.78487	-0.0016664	-0.78487	-0.77658	NaN	-0.77658
7.9	-0.78144	-0.000416633	-0.78144	-0.772311	NaN	-0.772311
8	-0.778129	0	-0.778129	-0.76822	NaN	-0.76822
8.1	-0.774939	NaN	-0.774939	-0.764303	NaN	-0.764303
8.2	-0.771858	NaN	-0.771858	-0.760545	NaN	-0.760545
8.3	-0.768882	NaN	-0.768882	-0.75694	NaN	-0.75694
8.4	-0.766011	NaN	-0.766011	-0.753476	NaN	-0.753476
8.5	-0.763236	NaN	-0.763236	-0.750147	NaN	-0.750147
8.6	-0.760553	NaN	-0.760553	-0.746945	NaN	-0.746945
8.7	-0.757963	NaN	-0.757963	-0.743864	NaN	-0.743864
8.8	-0.755456	NaN	-0.755456	-0.740898	NaN	-0.740898
8.9	-0.75303	NaN	-0.75303	-0.738041	NaN	-0.738041
9	-0.750686	NaN	-0.750686	-0.735287	NaN	-0.735287
9.1	-0.748416	NaN	-0.748416	-0.732635	NaN	-0.732635
9.2	-0.746221	NaN	-0.746221	-0.73007	NaN	-0.73007
9.3	-0.744094	NaN	-0.744094	-0.727595	NaN	-0.727595
9.4	-0.742031	NaN	-0.742031	-0.725209	NaN	-0.725209
9.5	-0.740036	NaN	-0.740036	-0.722898	NaN	-0.722898
9.6	-0.738101	NaN	-0.738101	-0.720669	NaN	-0.720669
9.7	-0.736227	NaN	-0.736227	-0.718511	NaN	-0.718511
9.8	-0.734414	NaN	-0.734414	-0.716423	NaN	-0.716423
9.9	-0.732646	NaN	-0.732646	-0.714402	NaN	-0.714402
10	-0.730935	NaN	-0.730935	-0.712444	NaN	-0.712444
10.1	-0.729273	NaN	-0.729273	-0.710551	NaN	-0.710551
10.2	-0.727664	NaN	-0.727664	-0.708715	NaN	-0.708715
10.3	-0.726103	NaN	-0.726103	-0.706935	NaN	-0.706935
10.4	-0.724585	NaN	-0.724585	-0.705208	NaN	-0.705208
10.5	-0.723108	NaN	-0.723108	-0.703536	NaN	-0.703536
10.6	-0.721677	NaN	-0.721677	-0.701911	NaN	-0.701911
10.7	-0.720288	NaN	-0.720288	-0.700337	NaN	-0.700337
10.8	-0.718936	NaN	-0.718936	-0.698807	NaN	-0.698807
10.9	-0.717623	NaN	-0.717623	-0.697323	NaN	-0.697323
11	-0.716344	NaN	-0.716344	-0.695879	NaN	-0.695879
11.1	-0.715103	NaN	-0.715103	-0.694478	NaN	-0.694478
11.2	-0.713893	NaN	-0.713893	-0.693115	NaN	-0.693115
11.3	-0.712719	NaN	-0.712719	-0.691792	NaN	-0.691792
11.4	-0.711568	NaN	-0.711568	-0.690506	NaN	-0.690506
11.5	-0.710462	NaN	-0.710462	-0.689256	NaN	-0.689256
11.6	-0.709381	NaN	-0.709381	-0.688037	NaN	-0.688037
11.7	-0.708325	NaN	-0.708325	-0.686852	NaN	-0.686852
11.8	-0.7073	NaN	-0.7073	-0.6857	NaN	-0.6857
11.9	-0.706303	NaN	-0.706303	-0.68458	NaN	-0.68458
12	-0.705329	NaN	-0.705329	-0.683489	NaN	-0.683489
12.1	-0.704382	NaN	-0.704382	-0.682426	NaN	-0.682426
12.2	-0.703456	NaN	-0.703456	-0.681392	NaN	-0.681392
12.3	-0.702561	NaN	-0.702561	-0.680384	NaN	-0.680384
12.4	-0.70168	NaN	-0.70168	-0.679402	NaN	-0.679402
12.5	-0.700828	NaN	-0.700828	-0.678448	NaN	-0.678448
12.6	-0.699995	NaN	-0.699995	-0.677514	NaN	-0.677514
12.7	-0.699183	NaN	-0.699183	-0.676611	NaN	-0.676611
12.8	-0.698394	NaN	-0.698394	-0.675725	NaN	-0.675725
12.9	-0.69762	NaN	-0.69762	-0.67486	NaN	-0.67486
13	-0.696867	NaN	-0.696867	-0.674021	NaN	-0.674021
13.1	-0.696134	NaN	-0.696134	-0.673201	NaN	-0.673201
13.2	-0.695416	NaN	-0.695416	-0.672403	NaN	-0.672403
13.3	-0.694716	NaN	-0.694716	-0.671623	NaN	-0.671623
13.4	-0.694035	NaN	-0.694035	-0.670864	NaN	-0.670864
13.5	-0.693371	NaN	-0.693371	-0.670122	NaN	-0.670122
13.6	-0.69272	NaN	-0.69272	-0.6694	NaN	-0.6694
13.7	-0.692085	NaN	-0.692085	-0.668693	NaN	-0.668693
13.8	-0.691467	NaN	-0.691467	-0.668009	NaN	-0.668009
13.9	-0.69086	NaN	-0.69086	-0.667334	NaN	-0.667334
